Module ID,URL Link,LMS Location,Risk Score,Risk Category,Local URL,Scraped ID,Scraped At
1,https://www.ft.com/content/2379dfdb-b62b-47de-98d5-dc49be50e661,http://10.51.33.25/moodle/mod/url/view.php?id=25,-1.0,PAYWALL,,861,2025-08-02T00:06:33.142793
1,https://www.wsj.com/finance/banking/goldman-sachs-greece-hotel-sell-34b5353a?mod=real-estate_lead_story,http://10.51.33.25/moodle/mod/url/view.php?id=26,-1.0,PAYWALL,,862,2025-08-02T00:06:33.793147
1,https://coinlab.biz/,http://10.51.33.25/moodle/course/view.php?id=2,-10.0,"Malicious (alphaMountain.ai), trackers, spyware and malware, Phishing and Other Frauds",,856,2025-08-02T00:05:46.530426
1,https://coinlab.biz/,http://10.51.33.25/moodle/course/section.php?id=5,-10.0,"Malicious (alphaMountain.ai), trackers, spyware and malware, Phishing and Other Frauds",,858,2025-08-02T00:06:12.116213
1,https://www.dlsweb.rmit.edu.au/lsu/content/2_assessmenttasks/assess_pdf/PG%20lit%20review.pdf,Document Scan,-1.0,EDUCATION DOMAIN,,874,2025-08-02T00:07:43.151912
1,http://www.sfia-online.org/,Document Scan,-1.0,SITE UNREACHABLE,,870,2025-08-02T00:07:40.266681
1,https://student.unsw.edu.au/groupwork/,Document Scan,-1.0,EDUCATION DOMAIN,,872,2025-08-02T00:07:41.589257
1,https://emedia.rmit.edu.au/learninglab/content/writing-literature-review/,Document Scan,-1.0,EDUCATION DOMAIN,,875,2025-08-02T00:07:43.818127
1,http://en.wikipedia.org/wiki/Stakeholder_management/,Document Scan,-1.0,SITE UNREACHABLE,,883,2025-08-02T00:07:51.276693
1,https://docs.python.org/3/,http://10.51.33.25/moodle/mod/forum/discuss.php?sesskey=a6Tjftyfyy&d=1&pin=1,0.0,"business, information technology, information technology",localrepo/module_1/20250802_0010/867,867,2025-08-02T00:06:56.431172
1,https://rl.talis.com/3/murdoch/lists/62562748-16DF-53E1-D32E-81C662867B97.html?lang=en-GB,http://10.51.33.25/moodle/mod/url/view.php?id=11,0.0,"education, general business, information technology",localrepo/module_1/20250802_0010/857,857,2025-08-02T00:06:06.217053
1,https://www.xvideos.com,http://10.51.33.25/moodle/mod/url/view.php?id=18,0.0,"porn, adult content, sexually explicit, sex, pornography",localrepo/module_1/20250802_0010/859,859,2025-08-02T00:06:17.970647
1,https://jsfiddle.net/,Document Scan,0.0,"Information Technology (alphaMountain.ai), computersandsoftware, information technology, information technology",localrepo/module_1/20250802_0010/877,877,2025-08-02T00:07:44.961559
1,https://kathyschwalbe.files.wordpress.com/2021/08/schwalbe-intro-pm-7e-sample-chapter-1.pdf,Document Scan,0.0,"hosting, blogs & wikis, blogs and forums, blogs and personal sites",localrepo/module_1/20250802_0010/871,871,2025-08-02T00:07:41.031992
1,https://docs.python.org/3/,http://10.51.33.25/moodle/mod/forum/discuss.php?d=1&parent=2,0.0,"business, information technology, information technology",localrepo/module_1/20250802_0010/867,865,2025-08-02T00:06:55.381929
