Module ID,URL Link,LMS Location,Risk Score,Risk Category,Local URL,Scraped ID,Scraped At
1,https://www.ft.com/content/2379dfdb-b62b-47de-98d5-dc49be50e661,Unknown,-1.0,PAYWALL,,226,2025-07-25T23:26:46.635580
1,https://www.wsj.com/finance/banking/goldman-sachs-greece-hotel-sell-34b5353a?mod=real-estate_lead_story,Unknown,-1.0,PAYWALL,,227,2025-07-25T23:26:47.268339
1,https://www.xvideos.com,Unknown,-85.0,NSFW_Pornographic domain detected: xvideos.com,,224,2025-07-25T23:26:32.450795
1,https://coinlab.biz/,Unknown,-10.0,"Malicious (alphaMountain.ai), trackers, spyware and malware, Phishing and Other Frauds",,223,2025-07-25T23:26:30.450691
1,https://coinlab.biz/,Unknown,-10.0,"Malicious (alphaMountain.ai), trackers, spyware and malware, Phishing and Other Frauds",,221,2025-07-25T23:26:02.667028
1,https://student.unsw.edu.au/groupwork/,Document scan,-1.0,EDUCATION DOMAIN,,237,2025-07-25T23:27:55.104995
1,https://www.gnu.org/software/pspp/,Document scan,-1.0,SITE UNREACHABLE,,238,2025-07-25T23:27:55.655567
1,https://emedia.rmit.edu.au/learninglab/content/writing-literature-review/,Document scan,-1.0,EDUCATION DOMAIN,,240,2025-07-25T23:27:56.415955
1,http://en.wikipedia.org/wiki/Stakeholder_management/,Document scan,-1.0,SITE UNREACHABLE,,248,2025-07-25T23:28:02.106986
1,http://www.sfia-online.org/,Document scan,-1.0,SITE UNREACHABLE,,235,2025-07-25T23:27:54.090647
1,https://www.dlsweb.rmit.edu.au/lsu/content/2_assessmenttasks/assess_pdf/PG%20lit%20review.pdf,Document scan,-1.0,EDUCATION DOMAIN,,239,2025-07-25T23:27:55.714067
1,https://kathyschwalbe.files.wordpress.com/2018/08/project2016guide.pdf,Document scan,0.0,"hosting, blogs and forums, blogs & wikis, blogs and personal sites",localrepo/module_1/20250725_2331/245,245,2025-07-25T23:28:00.730506
1,http://www.gantt.com/index.htm,Document scan,0.0,"education, business and economy",localrepo/module_1/20250725_2331/246,246,2025-07-25T23:28:00.818715
1,https://rl.talis.com/3/murdoch/lists/62562748-16DF-53E1-D32E-81C662867B97.html?lang=en-GB,Unknown,0.0,"education, general business, information technology",localrepo/module_1/20250725_2330/222,222,2025-07-25T23:26:24.369848
1,https://www.youtube.com/,Document scan,0.0,"Mixed Content/Potentially Adult, Video/Multimedia (alphaMountain.ai), videos, violence/adult content, video hosting, social web - youtube",localrepo/module_1/20250725_2331/241,241,2025-07-25T23:27:57.162489
1,https://fastapi.tiangolo.com/,Document scan,0.0,"Information Technology (alphaMountain.ai), computersandsoftware, information technology, information technology",localrepo/module_1/20250725_2331/244,244,2025-07-25T23:28:00.408022
