Module ID,URL Link,LMS Location,Risk Score,Risk Category,Local URL,Scraped ID,Scraped At
1,https://www.ft.com/content/2379dfdb-b62b-47de-98d5-dc49be50e661,http://10.51.33.25/moodle/mod/url/view.php?id=25,-1.0,PAYWALL,,829,2025-08-01T17:55:38.935842
1,https://www.wsj.com/finance/banking/goldman-sachs-greece-hotel-sell-34b5353a?mod=real-estate_lead_story,http://10.51.33.25/moodle/mod/url/view.php?id=26,-1.0,PAYWALL,,830,2025-08-01T17:55:39.622446
1,https://coinlab.biz/,http://10.51.33.25/moodle/course/view.php?id=2,-10.0,"Malicious (alphaMountain.ai), trackers, spyware and malware, Phishing and Other Frauds",,824,2025-08-01T17:54:55.453236
1,https://coinlab.biz/,http://10.51.33.25/moodle/course/section.php?id=5,-10.0,"Malicious (alphaMountain.ai), trackers, spyware and malware, Phishing and Other Frauds",,826,2025-08-01T17:55:21.966657
1,http://www.sfia-online.org/,Document Scan,-1.0,SITE UNREACHABLE,,838,2025-08-01T17:56:48.090084
1,https://student.unsw.edu.au/groupwork/,Document Scan,-1.0,EDUCATION DOMAIN,,840,2025-08-01T17:56:49.343758
1,https://www.gnu.org/software/pspp/,Document Scan,-1.0,SITE UNREACHABLE,,841,2025-08-01T17:56:50.254484
1,https://www.dlsweb.rmit.edu.au/lsu/content/2_assessmenttasks/assess_pdf/PG%20lit%20review.pdf,Document Scan,-1.0,EDUCATION DOMAIN,,842,2025-08-01T17:56:50.435102
1,https://emedia.rmit.edu.au/learninglab/content/writing-literature-review/,Document Scan,-1.0,EDUCATION DOMAIN,,843,2025-08-01T17:56:51.065139
1,http://en.wikipedia.org/wiki/Stakeholder_management/,Document Scan,-1.0,SITE UNREACHABLE,,851,2025-08-01T17:56:57.329692
1,https://docs.python.org/3/,http://10.51.33.25/moodle/mod/forum/discuss.php?d=1,0.0,"business, information technology, information technology",localrepo/module_1/20250801_1759/832,832,2025-08-01T17:56:03.963093
1,https://docs.python.org/3/,http://10.51.33.25/moodle/mod/forum/discuss.php?sesskey=zC5eEpXo47&d=1&pin=0,0.0,"business, information technology, information technology",localrepo/module_1/20250801_1759/832,835,2025-08-01T17:56:06.191915
1,https://docs.python.org/3/,http://10.51.33.25/moodle/mod/forum/discuss.php?sesskey=zC5eEpXo47&d=1&pin=1,0.0,"business, information technology, information technology",localrepo/module_1/20250801_1759/832,837,2025-08-01T17:56:15.862598
1,https://jsfiddle.net/,Document Scan,0.0,"Information Technology (alphaMountain.ai), computersandsoftware, information technology, information technology",localrepo/module_1/20250801_1759/845,845,2025-08-01T17:56:51.956525
1,http://www.gantt.com/index.htm,Document Scan,0.0,"education, business and economy",localrepo/module_1/20250801_1800/849,849,2025-08-01T17:56:55.838385
1,https://lingojam.com/FancyTextGenerator/,Document Scan,0.0,"misc, translators, mobile communications, reference materials",localrepo/module_1/20250801_1800/852,852,2025-08-01T17:56:58.538956
1,https://kathyschwalbe.files.wordpress.com/2021/08/schwalbe-intro-pm-7e-sample-chapter-1.pdf,Document Scan,0.0,"hosting, blogs & wikis, blogs and forums, blogs and personal sites",localrepo/module_1/20250801_1759/839,839,2025-08-01T17:56:48.703981
1,https://rl.talis.com/3/murdoch/lists/62562748-16DF-53E1-D32E-81C662867B97.html?lang=en-GB,http://10.51.33.25/moodle/mod/url/view.php?id=11,0.0,"education, general business, information technology",localrepo/module_1/20250801_1759/825,825,2025-08-01T17:55:16.382203
1,https://www.youtube.com/,Document Scan,0.0,"Mixed Content/Potentially Adult, Video/Multimedia (alphaMountain.ai), videos, media sharing, adult content/violence, video hosting, social web - youtube",localrepo/module_1/20250801_1800/844,844,2025-08-01T17:56:51.565418
1,https://fastapi.tiangolo.com/,Document Scan,0.0,"Information Technology (alphaMountain.ai), computersandsoftware, software-hardware, information technology, information technology",localrepo/module_1/20250801_1801/847,847,2025-08-01T17:56:55.293179
1,http://www.mindtools.com/pages/article/newPPM_07.htm,Document Scan,0.0,"education, computing & technology, reference, educational materials",localrepo/module_1/20250801_1801/850,850,2025-08-01T17:56:56.396721
1,https://www.xvideos.com,http://10.51.33.25/moodle/mod/url/view.php?id=18,0.0,"porn, adult content, sexually explicit, sex, pornography",localrepo/module_1/20250801_1759/827,827,2025-08-01T17:55:23.760822
1,https://best-putlocker.pw/free-tv-show/the-big-bang-theory-season-12/8wjS20So/6bae2vl2/,Document Scan,0.0,CLEAN,localrepo/module_1/20250801_1759/846,846,2025-08-01T17:56:55.063623
1,https://saturncloud.io/blog/how-to-read-data-from-google-sheets-using-colaboratory-google/,http://10.51.33.25/moodle/mod/forum/discuss.php?sesskey=zC5eEpXo47&d=1&pin=1,0.0,"computersandsoftware, online storage, information technology, information technology",localrepo/module_1/20250801_1800/836,836,2025-08-01T17:56:15.833070
1,https://www.nea.gov.sg/docs/default-source/dpc/floatsam-2024.pdf,http://10.51.33.25/moodle/mod/url/view.php?id=20,0.0,"government, government, government",localrepo/module_1/20250801_1759/828,828,2025-08-01T17:55:35.368582
1,https://docs.python.org/3/,http://10.51.33.25/moodle/mod/forum/discuss.php?d=1&parent=2,0.0,"business, information technology, information technology",localrepo/module_1/20250801_1759/832,833,2025-08-01T17:56:04.783499
1,https://kathyschwalbe.files.wordpress.com/2018/08/project2016guide.pdf,Document Scan,0.0,"hosting, blogs and forums, blogs & wikis, blogs and personal sites",localrepo/module_1/20250801_1800/848,848,2025-08-01T17:56:55.615721
1,https://saturncloud.io/blog/how-to-read-data-from-google-sheets-using-colaboratory-google/,http://10.51.33.25/moodle/mod/forum/discuss.php?d=1,0.0,"computersandsoftware, online storage, information technology, information technology",localrepo/module_1/20250801_1800/836,831,2025-08-01T17:56:03.661700
1,https://saturncloud.io/blog/how-to-read-data-from-google-sheets-using-colaboratory-google/,http://10.51.33.25/moodle/mod/forum/discuss.php?sesskey=zC5eEpXo47&d=1&pin=0,0.0,"computersandsoftware, online storage, information technology, information technology",localrepo/module_1/20250801_1800/836,834,2025-08-01T17:56:06.161745
2,https://www.coinlab.biz,http://10.51.33.25/moodle/mod/url/view.php?id=27,-6.0,"trackers, Phishing and Other Frauds, web applications",,854,2025-08-01T17:57:15.924350
2,https://www.pornhub.com,http://10.51.33.25/moodle/mod/url/view.php?id=17,0.0,"porn, adult content, sexually explicit, sex, pornography",localrepo/module_2/20250801_1801/853,853,2025-08-01T17:57:13.304070
3,https://murdoch.rl.talis.com/items/7CCB9A49-C85D-01F7-8FBA-262DB8F0CB1E.html,Document Scan,0.0,"education, technical information, general business, information technology",localrepo/module_3/20250801_1801/855,855,2025-08-01T17:58:21.795245
